x	
35.11 	12.27 
26.96 	4.79 
45.28 	21.46 
35.56 	17.89 
37.23 	19.53 
40.64 	18.47 
24.96 	8.41 
45.08 	21.00 
43.24 	24.13 
12.50 	1.58 
34.15 	14.07 
28.99 	3.82 
11.01 	1.37 
44.58 	21.65 
37.80 	16.35 
37.13 	20.30 
35.54 	15.05 
44.80 	19.70 
42.52 	19.09 
17.84 	7.17 
32.59 	14.72 
21.67 	8.06 
18.19 	5.62 
29.26 	14.54 
44.92 	24.25 
41.81 	18.35 
18.03 	4.51 
18.02 	8.09 
38.41 	16.31 
24.27 	9.60 
37.39 	17.29 
34.40 	13.32 
33.05 	10.17 
25.48 	8.22 
17.43 	0.62 
35.40 	18.12 
34.08 	13.49 
18.14 	8.78 
26.69 	10.69 
40.65 	16.69 
36.50 	13.87 
31.21 	10.89 
39.25 	18.65 
28.93 	7.70 
25.51 	9.22 
31.70 	15.44 
25.43 	10.76 
27.65 	11.13 
38.67 	20.57 
16.67 	5.87 
42.69 	25.33 
23.03 	9.64 
19.46 	8.40 
32.42 	11.73 
37.84 	17.38 
33.17 	13.90 
45.65 	22.30 
37.02 	18.81 
26.42 	9.74 
22.59 	4.88 
33.67 	11.92 
37.41 	14.58 
23.86 	6.57 
3.43 	-0.33 
49.00 	27.29 
23.02 	11.47 
27.56 	9.89 
26.60 	14.44 
17.71 	3.92 
28.82 	16.25 
52.64 	33.30 
37.24 	14.87 
43.52 	20.73 
37.32 	18.80 
32.04 	15.45 
17.86 	5.21 
21.98 	8.61 
28.70 	16.12 
27.79 	11.41 
21.16 	9.09 
30.57 	18.28 
18.65 	7.41 
37.17 	21.19 
36.16 	16.72 
37.97 	15.50 
21.08 	9.20 
28.09 	9.30 
30.92 	8.53 
19.21 	7.63 
30.18 	8.01 
21.63 	6.82 
31.19 	12.49 
22.82 	11.05 
12.68 	4.18 
34.80 	18.47 
51.45 	30.55 
28.36 	13.96 
36.19 	14.03 
26.18 	9.60 
18.80 	6.84 
43.55 	22.01 
29.77 	6.86 
14.97 	9.83 
31.28 	13.58 
27.59 	8.81 
18.57 	6.17 
39.08 	16.05 
19.99 	7.16 
37.10 	21.23 
17.40 	1.57 
29.94 	12.62 
25.23 	11.74 
28.10 	14.40 
44.92 	19.98 
29.13 	9.53 
40.66 	20.39 
25.22 	6.75 
42.67 	21.87 
42.69 	22.43 
30.46 	12.39 
28.56 	10.07 
21.44 	4.13 
25.98 	11.54 
32.80 	13.34 
45.60 	22.52 
27.14 	8.63 
18.92 	6.57 
45.68 	23.51 
2.37 	0.63 
38.91 	18.98 
40.79 	20.69 
42.61 	19.46 
13.09 	5.15 
22.14 	7.26 
22.63 	10.73 
21.68 	8.81 
21.63 	4.63 
19.90 	11.04 
20.58 	5.40 
19.43 	3.57 
26.73 	10.24 
37.37 	15.62 
27.54 	13.49 
24.44 	12.09 
27.04 	7.91 
24.66 	8.54 
21.57 	6.56 
34.69 	15.97 
29.62 	14.95 
30.95 	11.54 
31.32 	13.58 
35.04 	16.15 
25.81 	8.88 
38.37 	14.28 
43.17 	25.23 
25.27 	7.66 
32.56 	12.61 
14.99 	2.93 
44.40 	22.63 
23.19 	10.22 
35.44 	13.63 
17.61 	10.38 
23.26 	2.70 
16.42 	7.60 
31.73 	11.22 
39.82 	15.17 
26.42 	6.90 
19.32 	6.38 
33.74 	12.64 
23.53 	13.01 
37.60 	18.71 
24.96 	8.90 
44.46 	23.21 
19.04 	7.55 
12.44 	1.52 
23.86 	5.22 
35.48 	16.24 
29.83 	11.62 
19.70 	4.27 
36.30 	18.64 
13.27 	4.68 
15.00 	3.24 
21.26 	7.83 
32.17 	12.22 
35.68 	15.40 
30.62 	10.27 
35.60 	17.17 
34.17 	17.16 
39.71 	20.20 
33.72 	11.87 
19.29 	7.48 
37.16 	13.39 
24.21 	9.29 
44.28 	22.88 
17.54 	2.89 
20.44 	11.14 
33.93 	12.53 
47.25 	28.62 
36.34 	17.00 
43.92 	19.79 
22.82 	8.70 
18.80 	5.05 
36.33 	14.88 
33.84 	11.49 
6.62 	4.26 
43.34 	22.33 
11.66 	1.82 
39.85 	20.74 
30.83 	12.37 
32.85 	10.21 
20.82 	10.57 
8.28 	4.73 
9.68 	7.02 
38.74 	17.53 
12.66 	2.78 
23.06 	6.06 
39.51 	18.55 
20.02 	7.54 
27.12 	12.53 
48.24 	23.49 
24.57 	12.98 
42.53 	20.75 
25.88 	11.89 
14.18 	3.16 
28.17 	11.22 
30.83 	13.25 
42.40 	21.44 
37.41 	13.67 
-0.15 	2.14 
37.26 	16.06 
23.24 	12.50 
20.18 	9.32 
36.05 	16.95 
14.12 	3.62 
27.30 	8.61 
30.24 	9.51 
37.63 	17.25 
35.75 	16.90 
23.98 	10.50 
42.16 	19.42 
26.64 	13.47 
47.05 	21.15 
35.23 	11.15 
17.05 	4.87 
32.31 	8.19 
40.57 	18.57 
28.95 	8.02 
27.01 	15.62 
27.69 	11.10 
16.84 	7.64 
21.87 	7.40 
49.21 	26.29 
47.11 	26.62 
20.97 	4.85 
51.22 	22.51 
17.97 	6.74 
36.82 	16.62 
19.71 	8.85 
33.06 	17.83 
19.78 	5.23 
29.22 	11.35 
28.95 	13.24 
27.17 	8.32 
44.41 	19.80 
47.58 	27.27 
23.73 	15.73 
22.77 	3.14 
27.09 	12.08 
23.88 	5.25 
18.94 	4.22 
43.45 	17.46 
47.71 	28.66 
36.91 	15.06 
26.38 	7.71 
31.75 	14.49 
48.60 	29.79 
22.91 	10.44 
37.55 	20.89 
24.00 	6.14 
33.88 	12.24 
22.16 	13.37 
26.07 	12.34 
35.78 	14.71 
38.13 	14.01 
27.40 	8.32 
33.25 	10.35 
37.49 	16.49 
35.50 	14.64 
28.36 	11.38 
24.67 	8.76 
30.64 	13.62 
31.73 	12.62 
39.43 	17.64 
40.98 	16.54 
27.62 	16.62 
39.55 	18.22 
37.13 	17.75 
28.60 	14.70 
36.96 	14.38 
25.48 	7.25 
23.26 	10.65 
26.79 	11.46 
10.20 	7.77 
36.95 	16.99 
31.77 	10.45 
21.92 	9.91 
33.14 	10.49 
51.92 	25.87 
31.17 	11.94 
27.95 	11.55 
42.25 	23.13 
46.54 	26.35 
39.28 	14.83 
12.77 	7.98 
42.07 	21.25 
31.83 	9.54 
37.04 	16.73 
40.08 	13.85 
50.21 	26.68 
21.24 	8.81 
